shape,spacing,cycle,MaxAngle,MaxExt,MaxIndex,MaxLoad,Work
Triangle,-0.1,2,30.54689118,17.2761,352,1.4955,6.996973505
Triangle,-0.1,3,29.87805696,16.7765,338,1.4789,6.808749305
Circle,0.3,1,30.40030771,17.1657,345,10.2658,26.93179277
Circle,0.3,2,30.60631083,17.321,353,9.5683,19.41668142
Circle,0.3,3,30.5471561,17.2763,348,7.8933,15.41889245
Hexagon,0.3,1,30.2645339,17.0639,343,10.8811,20.44534532
Hexagon,0.3,2,30.41441165,17.1763,353,10.1616,16.43063019
Hexagon,0.3,3,30.63406285,17.342,356,9.8776,14.61807482
Circle,0.1,1,30.13327525,16.9659,341,3.1439,11.14036705
Circle,0.1,2,29.67366907,16.6259,342,3.2282,9.564449815
Circle,0.1,3,29.80939299,16.7258,341,2.9304,10.43131307
Circle,0,1,29.66018805,16.616,334,2.2453,8.32098132
Circle,0,2,29.2625354,16.3258,336,2.1739,7.66061077
Circle,0,3,29.60538958,16.5758,338,2.0833,7.08513013
Circle,-0.1,1,26.22563215,14.2158,286,1.7369,7.46502224
Circle,-0.1,2,29.40010498,16.4258,338,1.8083,7.59486987
Circle,-0.1,3,28.28336454,15.6257,319,1.761,6.816389745
Diamond,0.3,1,30.59956731,17.3159,348,37.4393,84.3688832
Diamond,0.3,2,30.61265633,17.3258,358,35.1573,53.84772166
Diamond,0.3,3,30.63327028,17.3414,356,33.9364,44.89536529
Diamond,0.1,1,30.46691301,17.2158,346,10.9615,22.40214887
Diamond,0.1,2,30.61265633,17.3258,358,10.2583,20.11794134
Diamond,0.1,3,30.60578198,17.3206,353,10.4135,19.47466053
Diamond,0,1,30.53324439,17.2658,347,6.7383,21.327434
Diamond,0,2,30.07927529,16.9257,348,6.3166,17.64133463
Diamond,0,3,30.28016831,17.0756,348,6.0918,16.59907999
Diamond,-0.1,1,30.61278852,17.3259,351,4.9496,15.27128728
Diamond,-0.1,2,30.14642556,16.9757,349,4.4672,14.31798159
Diamond,-0.1,3,30.60591419,17.3207,353,4.5292,14.42836869
Hexagon,0.1,1,30.46704582,17.2159,346,4.1105,11.30133463
Hexagon,0.1,2,30.60591419,17.3207,356,4.0084,10.01396694
Hexagon,0.1,3,30.47979231,17.2255,351,3.8532,9.41944408
Hexagon,0,1,30.53337692,17.2659,347,2.5715,9.470968515
Hexagon,0,2,30.34716154,17.1258,352,2.436,9.14716751
Hexagon,0,3,28.70639469,15.9257,325,2.459,8.523901005
